rownums,date,DOY,site,analysis,count
268,7/31/2017,212,ODNR 6,FIELD Conductivity,280
269,7/31/2017,212,Bridge,FIELD Air Temperature,NA
270,7/31/2017,212,Bridge,FIELD Water Temperature,24.3
271,7/31/2017,212,Bridge,FIELD Dissolved Oxygen,15.14
272,7/31/2017,212,Bridge,FIELD Secchi,NA
273,7/31/2017,212,Bridge,FIELD pH,10.42
274,7/31/2017,212,Bridge,FIELD Conductivity,280
275,7/31/2017,212,ODNR 2,FIELD Air Temperature,NA
276,7/31/2017,212,ODNR 2,FIELD Water Temperature,24.19
277,7/31/2017,212,ODNR 2,FIELD Dissolved Oxygen,15.74
278,7/31/2017,212,ODNR 2,FIELD Secchi,NA
279,7/31/2017,212,ODNR 2,FIELD pH,10.41
280,7/31/2017,212,ODNR 2,FIELD Conductivity,280
281,7/31/2017,212,Buoy 2,FIELD Air Temperature,NA
282,7/31/2017,212,Buoy 2,FIELD Water Temperature,24.51
283,7/31/2017,212,Buoy 2,FIELD Dissolved Oxygen,17.7
284,7/31/2017,212,Buoy 2,FIELD Secchi,NA
285,7/31/2017,212,Buoy 2,FIELD pH,10.38
286,7/31/2017,212,Buoy 2,FIELD Conductivity,330
287,7/31/2017,212,ODNR 1,FIELD Air Temperature,NA
288,7/31/2017,212,ODNR 1,FIELD Water Temperature,25.08
289,7/31/2017,212,ODNR 1,FIELD Dissolved Oxygen,20.93
290,7/31/2017,212,ODNR 1,FIELD Secchi,NA
291,7/31/2017,212,ODNR 1,FIELD pH,10.69
292,7/31/2017,212,ODNR 1,FIELD Conductivity,290
293,7/31/2017,212,EC 1163,FIELD Air Temperature,NA
294,7/31/2017,212,EC 1163,FIELD Water Temperature,24.68
295,7/31/2017,212,EC 1163,FIELD Dissolved Oxygen,16.82
296,7/31/2017,212,EC 1163,FIELD Secchi,NA
297,7/31/2017,212,EC 1163,FIELD pH,10.4
298,7/31/2017,212,EC 1163,FIELD Conductivity,300
299,7/31/2017,212,Bells,FIELD Air Temperature,NA
300,7/31/2017,212,Bells,FIELD Water Temperature,26.21
